city,date,temp_max,temp_min,temp_avg,humidity,precipitation,wind_speed,conditions
Toronto,2025-02-20,-5.5,-11.6,-8.3,76.3,0.0,25.9,Overcast
Montreal,2025-02-20,-6.9,-14.2,-10.3,77.0,0.1,15.8,Partially cloudy
Vancouver,2025-02-20,7.4,5.0,6.0,95.3,4.5,8.6,"Rain, Overcast"
Calgary,2025-02-20,4.6,-12.9,-2.4,68.8,0.0,13.0,Partially cloudy
Edmonton,2025-02-20,2.0,-16.9,-7.1,74.5,0.7,10.1,Partially cloudy
Ottawa,2025-02-20,-6.6,-15.5,-10.9,77.1,0.1,15.8,Partially cloudy
Winnipeg,2025-02-20,-13.8,-25.3,-19.2,64.2,0.0,10.1,Clear
Quebec City,2025-02-20,-4.7,-11.3,-8.0,82.8,0.0,17.3,Partially cloudy
Halifax,2025-02-20,-0.5,-4.9,-2.8,78.7,0.0,14.4,Partially cloudy
Victoria,2025-02-20,8.2,6.2,7.1,85.0,2.6,24.5,"Rain, Partially cloudy"
